"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1874",1874,"UKR","Ukraine","","Kiev","Kiev, Ukraine",50.4501,30.5234,"UKR1874",20749999196.5
"1875",1875,"UKR","Ukraine","","Kirovograd","Kirovograd, Ukraine",48.507933,32.262317,"UKR1875",2341079351.21875
"1876",1876,"UKR","Ukraine","","Luhanska","Luhanska, Ukraine",48.574041,39.307815,"UKR1876",4434205219
"1877",1877,"UKR","Ukraine","","Lviv","Lviv, Ukraine",49.839683,24.029717,"UKR1877",7088309272.4375
"1878",1878,"UKR","Ukraine","","m. Kyiv","m. Kyiv, Ukraine",50.4501,30.5234,"UKR1878",20749999196.5
"1879",1879,"UKR","Ukraine","","m. Sevastopol","m. Sevastopol, Ukraine",44.61665,33.5253671,"UKR1879",2182080159.125
"1880",1880,"UKR","Ukraine","","Mykolaiv","Mykolaiv, Ukraine",46.975033,31.9945829,"UKR1880",4418992948.3125
"1881",1881,"UKR","Ukraine","","National Average","National Average, Ukraine",40.7288915,-73.9870955,"UKR1881",72701565218.5
"1882",1882,"UKR","Ukraine","","Odessa","Odessa, Ukraine",46.482526,30.7233095,"UKR1882",9133422028.625
"1883",1883,"UKR","Ukraine","","Poltava","Poltava, Ukraine",49.588267,34.5514169,"UKR1883",3040232010.01562
"1884",1884,"UKR","Ukraine","","Rivne","Rivne, Ukraine",50.6199,26.251617,"UKR1884",2745546578.42188
"1885",1885,"UKR","Ukraine","","Sums","Sums, Ukraine",50.9077,34.7981,"UKR1885",2713799440.3125
"1886",1886,"UKR","Ukraine","","Ternopil","Ternopil, Ukraine",49.553517,25.594767,"UKR1886",2557801291.5
"1887",1887,"UKR","Ukraine","","Vinnitsa","Vinnitsa, Ukraine",49.233083,28.4682169,"UKR1887",3589184990.73438
"1888",1888,"UKR","Ukraine","","Volyn","Volyn, Ukraine",50.747233,25.325383,"UKR1888",2200464830.76562
"1889",1889,"UKR","Ukraine","","Zakarpattya","Zakarpattya, Ukraine",48.6208,22.287883,"UKR1889",1731657645.09375
"1890",1890,"UKR","Ukraine","","Zaporizhia","Zaporizhia, Ukraine",47.8388,35.139567,"UKR1890",6955236996.75
"1891",1891,"UKR","Ukraine","","Zhytomyr","Zhytomyr, Ukraine",50.25465,28.6586669,"UKR1891",2728119873.67188
"1892",1892,"TZA","United Republic of Tanzania","Arusha","Arusha","Arusha, United Republic of Tanzania",-3.3869254,36.6829927,"TZA1892",2428049317.65625
"1893",1893,"TZA","United Republic of Tanzania","Dar-es-salaam","Dar Es Salaam","Dar Es Salaam, United Republic of Tanzania",-6.792354,39.2083284,"TZA1893",9642082843.25
"1894",1894,"TZA","United Republic of Tanzania","Dodoma","Dodoma","Dodoma, United Republic of Tanzania",-6.162959,35.7516069,"TZA1894",1027227230.65625
"1895",1895,"TZA","United Republic of Tanzania","Geita","Geita","Geita, United Republic of Tanzania",-2.8850378,32.2313539,"TZA1895",582232368.703125
"1896",1896,"TZA","United Republic of Tanzania","Iringa","Iringa","Iringa, United Republic of Tanzania",-7.768059,35.6860723,"TZA1896",648637023.445312
"1897",1897,"TZA","United Republic of Tanzania","Kagera","Bukoba","Bukoba, United Republic of Tanzania",-1.3296409,31.8050125,"TZA1897",868475274.015625
"1898",1898,"TZA","United Republic of Tanzania","Katavi","Mpanda","Mpanda, United Republic of Tanzania",-6.3477635,31.0736389,"TZA1898",397677089.34375
"1899",1899,"TZA","United Republic of Tanzania","Kigoma","Kigoma","Kigoma, United Republic of Tanzania",-4.8824092,29.6615055,"TZA1899",1079750882.48438
"1900",1900,"TZA","United Republic of Tanzania","Kilimanjaro","Moshi","Moshi, United Republic of Tanzania",-3.3429977,37.3506658,"TZA1900",1974162860.25
"1901",1901,"TZA","United Republic of Tanzania","Lindi","Lindi","Lindi, United Republic of Tanzania",-9.9876076,39.6982485,"TZA1901",309356475.914062
"1902",1902,"TZA","United Republic of Tanzania","Manyara","Babati","Babati, United Republic of Tanzania",-4.2078266,35.7461477,"TZA1902",460532367.558594
"1903",1903,"TZA","United Republic of Tanzania","Mara","Musoma","Musoma, United Republic of Tanzania",-1.5101913,33.8020459,"TZA1903",786315159.289062
